iter	Passed	Remaining
952	4987	245
953	4991	240
954	4997	235
955	5002	230
956	5008	225
957	5014	219
958	5020	214
959	5027	209
960	5034	204
961	5038	199
962	5044	193
963	5049	188
964	5054	183
965	5059	178
966	5064	172
967	5069	167
968	5074	162
969	5080	157
970	5084	151
971	5088	146
972	5095	141
973	5101	136
974	5108	130
975	5116	125
976	5121	120
977	5128	115
978	5132	110
979	5137	104
980	5143	99
981	5148	94
982	5153	89
983	5159	83
984	5164	78
985	5169	73
986	5175	68
987	5180	62
988	5186	57
989	5192	52
990	5197	47
991	5201	41
992	5208	36
993	5214	31
994	5220	26
995	5226	20
996	5230	15
997	5235	10
998	5241	5
999	5246	0
